rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
1,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006,Mar,13,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,400000.0,2006,Mar,5,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
3,MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,US,Entertainment,48,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,2012,Feb,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006,Sep,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
5,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006,Sep,20,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
6,Music,119000000,0.0,Music,Music,0,United States,US,Music,4057944,9.0,13.5,192823000.0,0.0,0.0,0.0,0.0,400000.0,2013,Sep,24,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
7,ýýý Kids Diana Show,112000000,93247040539.0,People & Blogs,ýýý Kids Diana Show,1111,United States,US,Entertainment,5,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,400000.0,2015,May,12,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,400000.0,2010,Apr,29,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016,Jan,14,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
10,Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,2018,Apr,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
11,Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014,Mar,12,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
12,WWE,96000000,77428473662.0,Sports,WWE,70127,United States,US,Sports,7,6.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,600000.0,2007,May,11,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
13,Gaming,93600000,0.0,Music,Gaming,0,United States,US,Games,4057944,9.0,1.0,192823000.0,0.0,0.0,0.0,0.0,400000.0,2013,Dec,15,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
14,BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,2016,Jun,29,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
15,Goldmines,86900000,24118230580.0,Film & Animation,goldmines,1,United States,US,Music,4056562,9.0,5663.0,18.0,0.0,0.07,0.05,0.86,400000.0,2006,Aug,15,60.0,328239523.0,5.36,270663028.0,23.885942,-51.92528
16,Sony SAB,83000000,101000000000.0,Shows,Sony SAB,71270,India,IN,Entertainment,4,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,1100000.0,2007,Aug,4,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,400000.0,2020,Jul,27,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,2012,Dec,17,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
19,Sports,75000000,0.0,Music,sports,3,United States,US,Entertainment,3898122,6266.0,5395.0,16.0,0.0,0.06,0.05,0.77,400000.0,2006,Jan,30,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
20,Justin Bieber,71600000,30608119724.0,Music,Justin Bieber,249,Canada,CA,Music,38,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,100000.0,2007,Jan,15,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
21,HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,2008,Jun,4,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
22,Zee TV,70500000,73139054467.0,Entertainment,Zee TV,129204,India,IN,Entertainment,9,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,2005,Dec,11,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23,8.0,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,600000.0,2011,Dec,14,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
24,Canal KondZilla,66500000,36775585925.0,Music,Canal KondZilla,2572,Brazil,BR,Music,25,1.0,7.0,447223000.0,0.0,0.0,0.0,0.0,400000.0,2012,Mar,21,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7.0,3.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,500000.0,2013,Feb,9,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
26,Shemaroo Filmi Gaane,65600000,28648024439.0,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47,8.0,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,400000.0,2010,Jun,11,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
27,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,2008,Jun,13,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
28,T-Series Bhakti Sagar,61000000,29533230328.0,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938,5803.0,5744.0,10.0,0.0,0.04,0.03,0.48,400000.0,2018,Aug,3,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
29,Dude Perfect,59500000,16241549158.0,Sports,Dude Perfect,389,United States,US,Sports,182,9.0,3.0,141200000.0,35300.0,564800.0,423600.0,6800000.0,100000.0,2009,Mar,17,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
30,Movieclips,59500000,59316472754.0,Film & Animation,Movieclips,39113,United States,US,Film,11,9.0,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,100000.0,2006,Apr,28,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
31,Tips Official,59300000,33431802698.0,Music,Tips Official,4741,India,IN,Music,30,11.0,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,600000.0,2007,May,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
32,El Reino Infantil,58400000,57271630846.0,Music,El Reino Infantil,1510,Argentina,AR,Music,13,1.0,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,600000.0,2011,Jun,2,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
33,Wave Music,58000000,40602020243.0,Music,Wave Music,19487,India,IN,Music,21,12.0,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,500000.0,2014,Oct,29,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
34,Aaj Tak,57600000,25307753534.0,News & Politics,Aaj Tak,283775,India,IN,News,71,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,2009,Aug,27,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
35,Sony Music India,57200000,28837144516.0,Music,Sony Music India,3882,India,IN,Music,45,14.0,13.0,259310000.0,64800.0,1000000.0,777900.0,12400000.0,300000.0,2009,Sep,2,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
36,EminemMusic,56900000,27073872856.0,Music,EminemMusic,156,United States,US,Music,59,10.0,14.0,260193000.0,65000.0,1000000.0,780600.0,12500000.0,300000.0,2007,Feb,9,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
